File x y w h
data\1.jpg 231 130 181 181
data\10.jpg 322 123 139 139
data\100.jpg 311 74 265 265
data\11.jpg 261 163 289 289
data\12.jpg 175 219 534 534
data\13.jpg 198 119 283 283
data\14.jpg 213 49 453 453
data\15.jpg 256 62 151 151
data\16.jpg 59 133 457 457
data\17.jpg 357 53 165 165
data\18.jpg 159 158 195 195
data\19.jpg 83 187 395 395
data\2.jpg 404 60 64 64
data\20.jpg 58 159 468 468
data\21.jpg 131 56 115 115
data\22.jpg 401 79 130 130
data\23.jpg 274 62 422 422
data\24.jpg 281 70 151 151
data\25.jpg 211 152 393 393
data\26.jpg 334 66 192 192
data\27.jpg 37 99 502 502
data\28.jpg 366 154 230 230
data\29.jpg 77 109 415 415
data\3.jpg 205 146 331 331
data\30.jpg 386 118 150 150
data\31.jpg 203 126 234 234
data\32.jpg 114 34 82 82
data\33.jpg 280 64 222 222
data\34.jpg 414 131 282 282
data\35.jpg 168 105 326 326
data\36.jpg 221 49 110 110
data\37.jpg 193 62 156 156
data\38.jpg 228 139 221 221
data\39.jpg 97 250 548 548
data\4.jpg 275 26 111 111
data\40.jpg 137 151 420 420
data\41.jpg 288 164 146 146
data\42.jpg 53 172 459 459
data\43.jpg 119 174 334 334
data\44.jpg 304 93 154 154
data\45.jpg 146 151 390 390
data\46.jpg 91 128 417 417
data\47.jpg 245 234 311 311
data\48.jpg 104 115 376 376
data\49.jpg 132 94 279 279
data\5.jpg 435 126 292 292
data\50.jpg 66 67 295 295
data\51.jpg 196 127 423 423
data\52.jpg 175 192 362 362
data\53.jpg 63 110 435 435
data\54.jpg 91 126 307 307
data\55.jpg 275 238 417 417
data\56.jpg 170 82 405 405
data\57.jpg 176 160 342 342
data\58.jpg 306 312 275 275
data\59.jpg 389 82 168 168
data\6.jpg 265 83 220 220
data\60.jpg 58 240 527 527
data\61.jpg 335 61 227 227
data\62.jpg 275 69 288 288
data\63.jpg 182 19 254 254
data\64.jpg 138 87 190 190
data\65.jpg 248 121 142 142
data\66.jpg 198 61 215 215
data\67.Jpg 278 53 320 320
data\68.jpg 91 143 254 254
data\69.jpg 23 134 417 417
data\7.jpg 79 190 544 544
data\70.jpg 216 65 215 215
data\71.jpg 233 266 331 331
data\72.jpg 215 170 337 337
data\73.jpg 279 182 389 389
data\74.jpg 68 213 357 357
data\75.jpg 252 162 329 329
data\76.jpg 329 99 234 234
data\77.jpg 66 100 458 458
data\78.jpg 89 200 534 534
data\79.jpg 190 149 230 230
data\8.jpg 260 97 157 157
data\80.jpg 176 185 356 356
data\81.jpg 123 168 581 581
data\82.jpg 155 319 623 623
data\83.jpg 66 149 363 363
data\84.jpg 246 85 229 229
data\85.jpg 302 58 131 131
data\86.jpg 342 52 99 99
data\87.jpg 126 129 155 155
data\88.jpg 215 91 181 181
data\89.jpg 408 71 168 168
data\9.jpg 410 75 199 199
data\90.jpg 225 59 324 324
data\91.jpg 256 107 236 236
data\92.jpg 48 154 591 591
data\93.jpg 236 93 165 165
data\94.jpg 194 105 189 189
data\95.jpg 266 55 109 109
data\96.jpg 236 86 118 118
data\97.jpg 422 133 367 367
data\98.jpg 85 224 475 475
data\99.jpg 277 133 188 188
